"OGG",5,"260-201G"
"OGG",5,"260-205"
"OGG",6,"260-206"
"OGG",6,"260-213"
"OGG",7,"260-215"
"OGG",7,"260-217"
"OGG",8,"260-219"
"OGG",8,"260-221"
"OGG",9,"260-307"
"OGG",9,"260-315"
"OGG",10,"260-317"
"OGG",10,"260-319"
"OGG",11,"260-321"
"OGG",11,"260-323"
"Engineering",12,"401-401"
"Engineering",12,"401-439"
"Engineering",13,"403-401"
"Engineering",13,"403-402"
"Engineering",14,"403-403"
"Engineering",14,"403-404"
"Engineering",15,"403-405"
"Engineering",15,"403-406"
"Engineering",16,"403-407"
"Engineering",16,"403-408"
"Engineering",17,"403-501"
"Engineering",17,"403-502"
"Engineering",18,"403-503"
"Engineering",18,"404-501"
"Engineering",19,"404-502"
"Engineering",19,"404-503"
"HSB",20,"201E - 508"
"HSB",20,"201E - 512"
"HSB",21,"201E - 516"
"HSB",21,"201E - 704"
"HSB",22,"201E - 912"
"HSB",22,"201E - 919"
"HSB",23,"201N - 346"
"HSB",23,"201N - 352"
"Commerce A",24,"114-G01"
"Commerce A",24,"114-G10"
"Commerce A",26,"114-G13"
"Commerce A",26,"114-G16"
"Commerce A",25,"114-G17"
"Commerce A",25,"114-G18"
