1	1	1	2008-07-04 17:20:52	2008-07-04 17:20:52
2	2	1	2008-07-04 17:20:52	2008-07-04 17:20:52
3	1	2	2008-07-04 17:20:53	2008-07-04 17:20:53
4	2	2	2008-07-04 17:20:53	2008-07-04 17:20:53
5	3	3	2008-07-04 17:20:53	2008-07-04 17:20:53
6	4	3	2008-07-04 17:20:53	2008-07-04 17:20:53
7	5	3	2008-07-04 17:20:53	2008-07-04 17:20:53
8	6	3	2008-07-04 17:20:53	2008-07-04 17:20:53
9	7	3	2008-07-04 17:20:53	2008-07-04 17:20:53
10	3	4	2008-07-04 17:20:53	2008-07-04 17:20:53
11	4	4	2008-07-04 17:20:53	2008-07-04 17:20:53
12	5	4	2008-07-04 17:20:53	2008-07-04 17:20:53
13	6	4	2008-07-04 17:20:53	2008-07-04 17:20:53
14	7	4	2008-07-04 17:20:53	2008-07-04 17:20:53
15	3	5	2008-07-04 17:20:53	2008-07-04 17:20:53
16	4	5	2008-07-04 17:20:53	2008-07-04 17:20:53
17	5	5	2008-07-04 17:20:53	2008-07-04 17:20:53
18	6	5	2008-07-04 17:20:53	2008-07-04 17:20:53
19	7	5	2008-07-04 17:20:53	2008-07-04 17:20:53
20	3	6	2008-07-04 17:20:53	2008-07-04 17:20:53
21	4	6	2008-07-04 17:20:53	2008-07-04 17:20:53
22	5	6	2008-07-04 17:20:53	2008-07-04 17:20:53
23	6	6	2008-07-04 17:20:53	2008-07-04 17:20:53
24	7	6	2008-07-04 17:20:53	2008-07-04 17:20:53
25	3	7	2008-07-04 17:20:53	2008-07-04 17:20:53
26	4	7	2008-07-04 17:20:53	2008-07-04 17:20:53
27	5	7	2008-07-04 17:20:53	2008-07-04 17:20:53
28	6	7	2008-07-04 17:20:53	2008-07-04 17:20:53
29	7	7	2008-07-04 17:20:53	2008-07-04 17:20:53
30	3	8	2008-07-04 17:20:53	2008-07-04 17:20:53
31	4	8	2008-07-04 17:20:53	2008-07-04 17:20:53
32	5	8	2008-07-04 17:20:53	2008-07-04 17:20:53
33	6	8	2008-07-04 17:20:53	2008-07-04 17:20:53
34	7	8	2008-07-04 17:20:53	2008-07-04 17:20:53
35	9	9	2008-07-04 17:20:54	2008-07-04 17:20:54
36	10	9	2008-07-04 17:20:54	2008-07-04 17:20:54
37	11	9	2008-07-04 17:20:54	2008-07-04 17:20:54
38	9	10	2008-07-04 17:20:54	2008-07-04 17:20:54
39	10	10	2008-07-04 17:20:54	2008-07-04 17:20:54
40	11	10	2008-07-04 17:20:54	2008-07-04 17:20:54
41	12	11	2008-07-04 17:20:54	2008-07-04 17:20:54
42	13	11	2008-07-04 17:20:54	2008-07-04 17:20:54
43	14	11	2008-07-04 17:20:54	2008-07-04 17:20:54
44	12	12	2008-07-04 17:20:54	2008-07-04 17:20:54
45	13	12	2008-07-04 17:20:54	2008-07-04 17:20:54
46	14	12	2008-07-04 17:20:54	2008-07-04 17:20:54
47	15	13	2008-07-04 17:20:55	2008-07-04 17:20:55
48	16	13	2008-07-04 17:20:55	2008-07-04 17:20:55
49	15	14	2008-07-04 17:20:55	2008-07-04 17:20:55
50	16	14	2008-07-04 17:20:55	2008-07-04 17:20:55
51	18	15	2008-07-04 17:20:55	2008-07-04 17:20:55
52	18	16	2008-07-04 17:20:55	2008-07-04 17:20:55
53	20	17	2008-07-04 17:20:56	2008-07-04 17:20:56
54	21	17	2008-07-04 17:20:56	2008-07-04 17:20:56
55	22	17	2008-07-04 17:20:56	2008-07-04 17:20:56
56	20	18	2008-07-04 17:20:56	2008-07-04 17:20:56
57	21	18	2008-07-04 17:20:56	2008-07-04 17:20:56
58	22	18	2008-07-04 17:20:56	2008-07-04 17:20:56
59	24	24	2008-07-04 17:20:56	2008-07-04 17:20:56
60	25	24	2008-07-04 17:20:56	2008-07-04 17:20:56
61	26	24	2008-07-04 17:20:56	2008-07-04 17:20:56
62	24	25	2008-07-04 17:20:56	2008-07-04 17:20:56
63	25	25	2008-07-04 17:20:56	2008-07-04 17:20:56
64	26	25	2008-07-04 17:20:56	2008-07-04 17:20:56
65	24	26	2008-07-04 17:20:56	2008-07-04 17:20:56
66	25	26	2008-07-04 17:20:56	2008-07-04 17:20:56
67	26	26	2008-07-04 17:20:56	2008-07-04 17:20:56
68	24	27	2008-07-04 17:20:56	2008-07-04 17:20:56
69	25	27	2008-07-04 17:20:56	2008-07-04 17:20:56
70	26	27	2008-07-04 17:20:56	2008-07-04 17:20:56
71	27	28	2008-07-04 17:20:57	2008-07-04 17:20:57
72	28	29	2008-07-04 17:20:57	2008-07-04 17:20:57
73	29	29	2008-07-04 17:20:57	2008-07-04 17:20:57
74	30	30	2008-07-04 17:20:57	2008-07-04 17:20:57
75	31	30	2008-07-04 17:20:57	2008-07-04 17:20:57
76	32	30	2008-07-04 17:20:57	2008-07-04 17:20:57
77	30	31	2008-07-04 17:20:57	2008-07-04 17:20:57
78	31	31	2008-07-04 17:20:57	2008-07-04 17:20:57
79	32	31	2008-07-04 17:20:57	2008-07-04 17:20:57
80	30	32	2008-07-04 17:20:57	2008-07-04 17:20:57
81	31	32	2008-07-04 17:20:57	2008-07-04 17:20:57
82	32	32	2008-07-04 17:20:57	2008-07-04 17:20:57
83	33	33	2008-07-04 17:20:58	2008-07-04 17:20:58
84	34	33	2008-07-04 17:20:58	2008-07-04 17:20:58
