1	Assumption 1	1	f	t	2008-07-04 17:20:52	2008-07-04 17:20:52
2	Assumption 2	1	f	t	2008-07-04 17:20:52	2008-07-04 17:20:52
3	Ateneo 1	2	f	t	2008-07-04 17:20:53	2008-07-04 17:20:53
4	Ateneo 2	2	f	t	2008-07-04 17:20:53	2008-07-04 17:20:53
5	Ateneo 3	2	f	t	2008-07-04 17:20:53	2008-07-04 17:20:53
6	Ateneo 4	2	f	t	2008-07-04 17:20:53	2008-07-04 17:20:53
7	Ateneo 5	2	f	t	2008-07-04 17:20:53	2008-07-04 17:20:53
8	CSB 1	3	f	t	2008-07-04 17:20:53	2008-07-04 17:20:53
9	CUHK 1	4	f	t	2008-07-04 17:20:53	2008-07-04 17:20:53
10	CUHK 2	4	f	t	2008-07-04 17:20:54	2008-07-04 17:20:54
11	CUHK 3	4	f	t	2008-07-04 17:20:54	2008-07-04 17:20:54
12	DAE 1	5	f	t	2008-07-04 17:20:54	2008-07-04 17:20:54
13	DAE 2	5	f	t	2008-07-04 17:20:54	2008-07-04 17:20:54
14	DAE 3	5	f	t	2008-07-04 17:20:54	2008-07-04 17:20:54
15	DLSU 1	6	f	t	2008-07-04 17:20:54	2008-07-04 17:20:54
16	DLSU 2	6	f	t	2008-07-04 17:20:54	2008-07-04 17:20:54
17	EDIS 1	7	f	t	2008-07-04 17:20:55	2008-07-04 17:20:55
18	FEU 1	8	f	t	2008-07-04 17:20:55	2008-07-04 17:20:55
19	ICU 1	9	f	t	2008-07-04 17:20:55	2008-07-04 17:20:55
20	IIU 1	10	f	t	2008-07-04 17:20:55	2008-07-04 17:20:55
21	IIU 2	10	f	t	2008-07-04 17:20:55	2008-07-04 17:20:55
22	IIU 3	10	f	t	2008-07-04 17:20:55	2008-07-04 17:20:55
23	ITB 1	11	f	t	2008-07-04 17:20:56	2008-07-04 17:20:56
24	MMU 1	14	f	t	2008-07-04 17:20:56	2008-07-04 17:20:56
25	MMU 2	14	f	t	2008-07-04 17:20:56	2008-07-04 17:20:56
26	MMU 3	14	f	t	2008-07-04 17:20:56	2008-07-04 17:20:56
27	MMUM 1	15	f	t	2008-07-04 17:20:56	2008-07-04 17:20:56
28	Macau 1	16	f	t	2008-07-04 17:20:57	2008-07-04 17:20:57
29	Macau 2	16	f	t	2008-07-04 17:20:57	2008-07-04 17:20:57
30	Melbourne 1	17	f	t	2008-07-04 17:20:57	2008-07-04 17:20:57
31	Melbourne 2	17	f	t	2008-07-04 17:20:57	2008-07-04 17:20:57
32	Melbourne 3	17	f	t	2008-07-04 17:20:57	2008-07-04 17:20:57
33	Monash 1	18	f	t	2008-07-04 17:20:57	2008-07-04 17:20:57
34	Monash 2	18	f	t	2008-07-04 17:20:58	2008-07-04 17:20:58
35	Monash 3	18	f	t	2008-07-04 17:20:58	2008-07-04 17:20:58
36	Monash 4	18	f	t	2008-07-04 17:20:58	2008-07-04 17:20:58
37	Monash 5	18	f	t	2008-07-04 17:20:58	2008-07-04 17:20:58
38	NLSIU 1	19	f	t	2008-07-04 17:20:58	2008-07-04 17:20:58
39	NTU 1	20	f	t	2008-07-04 17:20:59	2008-07-04 17:20:59
40	NTU 2	20	f	t	2008-07-04 17:20:59	2008-07-04 17:20:59
41	NTU 3	20	f	t	2008-07-04 17:20:59	2008-07-04 17:20:59
42	NUJS 1	21	f	t	2008-07-04 17:20:59	2008-07-04 17:20:59
