41	Escaler Hall	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
42	FAVR	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
43	NGF Conf. Rm.	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
44	SECA112	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
45	SECA202	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
46	SECA203	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
47	SECA204	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
48	SECA205	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
49	CTC204	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
50	CTC308	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
51	Bel207	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
52	Bel208	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
53	Bel209	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
54	Bel212	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
55	Bel307	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
56	Bel308	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
57	Bel309	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
58	Bel310	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
59	Bel311	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
60	Bel312	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
61	B10	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
62	B305	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
63	B306	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
64	B308	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
65	F115	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
66	F304	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
67	SS CR 5	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
68	SS CR 6	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
69	OSA CR	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
70	Guidance CR	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
71	Educ. CR	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
72	R.O. CR	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
73	VPS LS CR	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
74	LHCR 3	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
75	SOSE Dean's CR	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
76	CTC 216	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
77	LHCR 2	t	1	2008-07-04 18:32:53	2008-07-04 18:32:53
